category,precision,recall,f1-score,support
328,0.8,0.0298507462686567,0.0575539568345323,134.0
329,0.3333333333333333,0.0104166666666666,0.0202020202020202,96.0
330,0.9272727272727272,0.5645756457564576,0.701834862385321,271.0
331,0.3125,0.1497005988023952,0.2024291497975708,167.0
332,0.2153846153846154,0.358974358974359,0.2692307692307693,117.0
333,0.4193548387096774,0.1083333333333333,0.1721854304635761,120.0
334,0.8208955223880597,0.6297709923664122,0.7127429805615552,262.0
335,0.8792270531400966,0.6408450704225352,0.7413441955193482,284.0
336,0.535031847133758,0.6666666666666666,0.5936395759717314,126.0
337,0.3950617283950617,0.3316062176165803,0.3605633802816901,193.0
338,0.375,0.0434782608695652,0.0779220779220779,69.0
339,0.1666666666666666,0.1162790697674418,0.136986301369863,43.0
340,0.3472222222222222,0.2358490566037736,0.2808988764044944,106.0
341,0.130879345603272,0.4671532846715328,0.2044728434504792,137.0
342,0.25,0.0217391304347826,0.04,138.0
343,0.6956521739130435,0.0581818181818181,0.1073825503355704,275.0
344,0.4473684210526316,0.2537313432835821,0.3238095238095238,134.0
345,0.4078947368421052,0.2066666666666666,0.2743362831858407,150.0
346,0.1777777777777777,0.1159420289855072,0.1403508771929824,69.0
347,0.5,0.0909090909090909,0.1538461538461538,44.0
348,0.2807017543859649,0.1584158415841584,0.2025316455696202,101.0
349,0.3769230769230769,0.296969696969697,0.3322033898305084,165.0
350,0.2916666666666667,0.0534351145038167,0.0903225806451613,131.0
351,0.2857142857142857,0.1259842519685039,0.174863387978142,127.0
352,0.2226890756302521,0.292817679558011,0.2529832935560859,181.0
353,0.5925925925925926,0.3282051282051282,0.4224422442244224,195.0
354,0.2,0.1415525114155251,0.1657754010695187,219.0
355,0.3243243243243243,0.1782178217821782,0.2300319488817891,202.0
356,0.5263157894736842,0.0546448087431694,0.099009900990099,183.0
357,0.3529411764705882,0.0612244897959183,0.1043478260869565,98.0
358,0.4285714285714285,0.0839160839160839,0.1403508771929824,143.0
359,0.5781990521327014,0.4728682170542636,0.5202558635394456,258.0
360,0.875,0.0245614035087719,0.0477815699658703,285.0
361,0.4166666666666667,0.1623376623376623,0.2336448598130841,154.0
362,0.3571428571428571,0.0549450549450549,0.0952380952380952,91.0
363,0.5384615384615384,0.2386363636363636,0.3307086614173228,88.0
364,0.1034482758620689,0.0483870967741935,0.0659340659340659,62.0
365,0.1746031746031746,0.1964285714285714,0.1848739495798319,56.0
366,0.4,0.0296296296296296,0.0551724137931034,135.0
367,0.2958579881656805,0.4347826086956521,0.352112676056338,115.0
368,0.1384615384615384,0.3201581027667984,0.1933174224343675,253.0
369,0.2772277227722772,0.1530054644808743,0.1971830985915493,183.0
370,0.1016949152542373,0.0674157303370786,0.081081081081081,178.0
371,0.0843373493975903,0.034313725490196,0.048780487804878,204.0
372,0.3684210526315789,0.1909090909090909,0.2514970059880239,110.0
373,0.2727272727272727,0.0891089108910891,0.1343283582089552,101.0
374,0.25,0.072289156626506,0.1121495327102803,83.0
375,0.6666666666666666,0.0238095238095238,0.0459770114942528,84.0
377,0.3529411764705882,0.0714285714285714,0.1188118811881188,84.0
378,0.3720930232558139,0.6906474820143885,0.4836272040302267,139.0
379,0.271356783919598,0.2673267326732673,0.2693266832917705,202.0
380,0.0961538461538461,0.0684931506849315,0.08,146.0
381,0.6952380952380952,0.5488721804511278,0.6134453781512605,266.0
382,0.25,0.0884955752212389,0.130718954248366,113.0
383,0.4,0.1188118811881188,0.183206106870229,101.0
384,0.3333333333333333,0.0427350427350427,0.0757575757575757,117.0
385,0.2266666666666666,0.096590909090909,0.1354581673306772,176.0
386,0.4285714285714285,0.0833333333333333,0.1395348837209302,36.0
387,0.3372781065088757,0.4769874476987448,0.3951473136915078,239.0
388,0.2405498281786941,0.3571428571428571,0.2874743326488706,196.0
389,0.11,0.2214765100671141,0.1469933184855233,149.0
390,0.0,0.0,0.0,32.0
391,0.0,0.0,0.0,46.0
392,0.1666666666666666,0.0829268292682926,0.1107491856677524,205.0
393,0.3571428571428571,0.0943396226415094,0.1492537313432836,159.0
394,0.3571428571428571,0.0197628458498023,0.0374531835205992,253.0
395,0.3333333333333333,0.0714285714285714,0.1176470588235294,56.0
396,0.4857142857142857,0.0928961748633879,0.1559633027522936,183.0
397,0.4147465437788018,0.4326923076923077,0.4235294117647059,208.0
398,0.7194244604316546,0.5376344086021505,0.6153846153846153,186.0
399,0.6432160804020101,0.6066350710900474,0.624390243902439,211.0
400,0.2566371681415929,0.3222222222222222,0.2857142857142857,90.0
401,0.1025641025641025,0.1666666666666666,0.1269841269841269,24.0
402,0.1428571428571428,0.2735849056603773,0.1877022653721682,106.0
403,0.5714285714285714,0.1391304347826087,0.2237762237762238,115.0
404,0.3571428571428571,0.0568181818181818,0.0980392156862745,264.0
405,0.2941176470588235,0.057471264367816,0.0961538461538461,87.0
406,0.2925531914893617,0.3767123287671233,0.3293413173652695,146.0
